ID,NameSubtext_lang,Description_lang,AuraDescription_lang
184,,为盟友施加火焰之盾，每$t1秒对施法者周围的所有敌人造成$3053s1点火焰伤害，持续$d。,每$t1秒对施法者周围的所有敌人造成$3053s1点火焰伤害。
205,"等级 2",向目标射出一支寒冰箭，对其造成${$m2*$<mult>}至${$M2*$<mult>}点冰霜伤害，并使其移动速度降低$s1%，持续$d。,移动速度降低$s1%。
228,"等级 2",将敌人变成一只鸡，使其不能施法，伤害能力降低$s3%，最多持续$d。,不能施法，伤害能力降低$s3%。
853,"等级 1",使目标昏迷$d，并打断它的非玩家类法术$32747d。,昏迷。
21368,,,
246,"等级 1",使敌人的移动速度降低$s2%，攻击速度降低$s1%，持续$d。,移动速度降低$s2%，攻击速度降低$s1%。
265,,轰杀半径30码范围内的所有敌人，爽吧......,
284,"等级 2",强力的攻击，使近战攻击所造成的伤害提高$s1点，并造成大量的威胁。,
285,"等级 3",强力的攻击，使近战攻击所造成的伤害提高$s1点，并造成大量的威胁。,
324,"等级 1",施法者被$n个闪电球环绕。如果施法者受到了近战、远程或法术伤害，则攻击者会受到$26364s1点自然伤害，并会消耗掉一个闪电球。一个攻击者在短期内只会受到一次反噬伤害。持续$d。萨满祭司在同一时间内只能激活一种元素护盾。,在被击中后对攻击者造成$26364s1点自然伤害。可使用$n次。
325,"等级 2",施法者被$n个闪电球环绕。如果施法者受到了近战、远程或法术伤害，则攻击者会受到$26365s1点自然伤害，并会消耗掉一个闪电球。一个攻击者在短期内只会受到一次反噬伤害。持续$d。萨满祭司在同一时间内只能激活一种元素护盾。,在被击中后对攻击者造成$26365s1点自然伤害。可使用$n次。
331,"等级 1",治疗友方目标，恢复$s1点生命值。,
332,"等级 2",治疗友方目标，恢复$s1点生命值。,
339,"等级 1",将目标固定在原地，在$d内对其造成总计$o2点自然伤害。任何伤害都可能会打断纠缠根须的效果。,被缠绕，造成每$t2秒$s2点自然伤害。
348,"等级 1",灼烧敌人，对其造成$s2点火焰伤害，并在$d内造成额外的$o1点火焰伤害。,每$t1秒$s1点火焰伤害。
355,,嘲讽目标，使其向你发起攻击，但是对已经在攻击你的目标无效。,被嘲讽。
370,"等级 1",净化敌方目标，移除$m1个有益魔法效果。,
379,,一层大地之盾保护目标，使其因受到伤害而损失的施法或引导时间缩短，被大地之盾保护的目标在受到攻击时可以恢复生命值。该效果每数秒只能出现一次，共可生效数次。同一时间内只能给一个目标施放大地之盾，且同一时间内只能有一种元素护盾在同一目标身上生效。,
403,"等级 1",向目标射出闪电箭，对其造成$s1点自然伤害。,
408,"等级 1","终结技，使目标昏迷。根据连击点数的数量决定效果持续时间：
   1点：1秒
   2点：2秒
   3点：3秒
   4点：4秒
   5点：5秒",昏迷。
421,"等级 1",向敌人射出一支闪电箭，对其造成$s1点自然伤害，随后这支闪电箭会继续攻击它周围最近的敌人。闪电箭每跳跃一次，伤害就减少30%，最多可攻击$x1个目标。,
427,,传送到修道院！！！,
430,,在$d内恢复总计${$m2/5*18}点法力值，喝水时必须保持坐姿。,每秒恢复${$m2/5}点法力值。
431,,在$d内恢复总计${$m2/5*21}点法力值，喝水时必须保持坐姿。,每秒恢复${$m2/5}点法力值。
432,,在$d内恢复总计${$m2/5*24}点法力值，喝水时必须保持坐姿。,每秒恢复${$m2/5}点法力值。
433,,在$d内恢复总计$o1点生命值，进食时必须保持坐姿。,每秒恢复$/5;s1点生命值。
436,,恢复$s1点法力值。,
439,,恢复$s1点生命值。,
442,,传送到北郡修道院！！！,
443,,传送到兵营！！！,
444,,传送到灯塔！！！,
445,,传送到夜色镇！！！,
446,,传送到墓地！！！,
447,,传送到树人！！！,
453,,安抚目标，使其警戒范围减少$s1码。只对人型目标有效。持续$d。,减小目标的警戒范围。
458,,召唤或解散一匹可供骑乘的棕马。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
459,,召唤或解散一头可供骑乘的灰狼。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
465,"等级 1",使附近半径$a1码范围内的所有队友获得$s1点额外的护甲值。每个圣骑士在同一时间内只能开启一种光环，且同类光环的效果无法叠加。,护甲值提高$s1点。
467,"等级 1",使友方目标身上环绕着荆棘，对任何使用近战手段击中被保护者的敌人造成$s1点自然伤害，持续$d。,对攻击者造成$s1点自然伤害。
468,,召唤或解散一匹可供骑乘的白马。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
469,"等级 1",使身边半径$a1码范围内的小队和团队成员的生命值上限提高$s1点。持续$d。,生命值上限提高$s1点。
470,,召唤或解散一匹可供骑乘的黑马。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
471,,召唤或解散一匹可供骑乘的褐色马。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
472,,召唤或解散一匹可供骑乘的杂色马。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
475,,从一个友方目标身上移除$m1个诅咒。,
491,"等级 1",用魔法打开宝箱等上锁的东西。,
498,,使你受到的所有伤害降低$s2%，持续$d。在使用圣佑术之后，圣盾术、保护之手或圣佑术在$25771d之内无法作用在目标身上。无法在使用复仇之怒后的$61987d内使用。,受到的伤害降低$s2%。
512,"等级 2",在敌人周围形成冰封的链条，将目标锁定在原地，持续$d。,被定身在原地。
515,"等级 1",教你学会施放次级隐形术。,
518,,从安其拉深处召唤出一群范克瑞斯的爪牙。,
526,,治愈一名友方目标身上$s1个中毒效果和$s1个疾病效果。,
527,"等级 1",驱散目标身上的魔法效果，从友方身上移除$s1个有害法术，或是从敌人身上移除$s1个有益法术。,
528,,从友方目标身上移除$s1个疾病效果。,
529,"等级 2",向目标射出闪电箭，对其造成$s1点自然伤害。,
543,"等级 1",吸收$s1点火焰伤害，持续$d。,吸收火焰伤害。
546,,使友方目标可以在水面或类似的表面上行走，持续$d。受到任何伤害都会解除水上行走效果。,可以在水上行走。
547,"等级 3",治疗友方目标，恢复$s1点生命值。,
548,"等级 3",向目标射出闪电箭，对其造成$s1点自然伤害。,
22786,,,
550,"等级 1",目标对毒素免疫，并且治愈所有当前中毒状态，持续时间$d。,免疫毒药。
552,,尝试驱散目标身上的$s2个疾病效果，并每$t1秒驱散$10872s1个疾病效果，持续$d。,每$t1秒驱散$10872s1个疾病效果。
556,,令施法者穿越扭曲虚空，回到$z。与不同地区的旅店老板谈话可以改变你的家所在的位置。,
563,"等级 6","教你学会施放月火术（等级 6）。",
568,,对$a1码内所有敌人造成$s1点奥术伤害，使其移动速度降低$s3%并将其击退。,移动速度降低$s3%。
578,,召唤或解散一头可供骑乘的黑狼。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
579,,召唤或解散一头可供骑乘的赤狼。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
580,,召唤或解散一头可供骑乘的森林狼。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
581,,召唤或解散一头可供骑乘的冬狼。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
585,"等级 1",对单体目标造成$s1点神圣伤害。,
586,,渐渐消失，暂时降低你对所有敌人的威胁值，持续$d。,降低威胁等级。
587,"等级 1","用魔法合成$s1块魔法松饼以供法师和$g他:她;的盟友食用。

这些物品会在持有者登出游戏超过15分钟之后消失。",
588,"等级 1",圣洁的能量充满施法者的体内，使护甲值提高$s1点。牧师每受到一次近战或远程伤害，就消耗一层心灵之火效果。持续$d或者直到消耗了$n次效果。,护甲值提高$s1点。
589,"等级 1",黑暗的咒语，在$d内造成总计$o1点暗影伤害。,每$t1秒$s1点暗影伤害。
591,"等级 2",对单体目标造成$s1点神圣伤害。,
592,"等级 2",立即为队友加上魔法护盾，可吸收$s1点伤害，持续$d。只要护盾存在，受保护者的施法就不会被物理攻击打断。目标在被加上护盾之后的$6788d内无法再被加上护盾。,吸收伤害。
594,"等级 2",黑暗的咒语，在$d内造成总计$o1点暗影伤害。,每$t1秒$s1点暗影伤害。
596,"等级 1",强大的祷言，可以为目标周围半径$a1码范围内的所有小队成员全部恢复$s1点生命值。,
597,"等级 2","用魔法合成$s1块魔法面包以供法师和$g他:她;的盟友食用。

这些物品会在持有者登出游戏超过15分钟之后消失。",
598,"等级 3",对单体目标造成$s1点神圣伤害。,
600,"等级 3",立即为队友加上魔法护盾，可吸收$s1点伤害，持续$d。只要护盾存在，受保护者的施法就不会被物理攻击打断。目标在被加上护盾之后的$6788d内无法再被加上护盾。,吸收伤害。
601,"等级 1",使你的单手剑的攻击等级提高$s1。,
602,"等级 3",圣洁的能量充满施法者的体内，使护甲值提高$s1点。牧师每受到一次近战或远程伤害，就消耗一层心灵之火效果。持续$d或者直到消耗了$n次效果。,护甲值提高$s1点。
603,"等级 1",对目标施加终极的诅咒，在$d后造成$s1点暗影伤害。如果目标在死于该伤害时可以为你提供经验值或荣誉值，则会召唤出一个末日守卫来。无法对玩家施放。,$d后造成$s1点暗影伤害。
604,"等级 1",降低施放于目标小队成员身上的魔法效果，使其受到的法术伤害降低最多$s1点，治疗法术恢复生命值的效果降低最多$s2点，持续$d。,"降低法术伤害，最多$s1点。
降低法术治疗效果，最多$s2点。"
605,,控制一个最高等级为$s1的人型目标，但是使其攻击间隔延长$s3%。最多持续$d。,被魅惑，攻击间隔延长$s3%。
606,"等级 1",从目标身上吸取$o1点法力值，持续$d。,"Mana drain, $s1 points every 5 seconds."
611,"等级 1","教你学会施放牺牲圣印（等级 1）。",
633,"等级 1",治疗一个友方目标，为其恢复相当于圣骑士的最大生命值的生命值。如果对自己使用，则在接下来的$25771d内圣骑士将无法再次对自己施放圣疗术，与此同时，圣盾术、圣佑术和保护之手也无法再作用于该圣骑士。除此之外，圣骑士也不能在使用过复仇之怒的$61987d内对自己使用。,
642,,使圣骑士对所有的伤害和法术攻击免疫，但是造成的伤害降低$s1%，持续$d。在使用圣盾术之后，圣盾术、保护之手或圣佑术在$25771d之内无法作用在目标身上。无法在使用复仇之怒后的$61987d内使用。,免疫一切攻击和法术，但你造成的伤害降低$s1%。
643,"等级 3",使附近半径$a1码范围内的所有队友获得$s1点额外的护甲值。每个圣骑士在同一时间内只能开启一种光环，且同类光环的效果无法叠加。,护甲值提高$s1点。
673,,护甲提高$s1点，持续$d。守护药剂。,护甲值提高$s1点。守护药剂。
674,被动,可以在副手上装备单手和副手武器。,
676,,卸除敌人的主手和远程武器，持续$d。,被缴械！
686,"等级 1",向目标射出一支暗影箭，对其造成$s1点暗影伤害。,
687,"等级 1",使施法者的护甲值提高$s1点，通过法术和效果恢复的生命值提高$s2%。术士在同一时间内只能激活一种护甲法术。持续$d。,护甲值提高$s1点，通过法术和效果恢复的生命值提高$s2%。
688,召唤,召唤一个小鬼为术士作战。,
689,"等级 1",每$t1秒吸取目标的$s1点生命值，并将其转移给施法者，持续$d。,每$t1秒吸取$s1点生命值并将其转移给施法者。
691,召唤,召唤一只地狱猎犬为术士作战。,
693,"等级 1","制造一块初级灵魂石，可以用来保存一个目标的灵魂。如果目标在灵魂被保存期间死去，则他们可以依靠灵魂石复活，并恢复$3026s1点生命值和$3026q1点法力值。

如果持有该物品的玩家退出游戏超过15分钟，则该物品就会消失。",
694,,一次对目标造成中量威胁的打击，迫使它在$d内一直攻击你。如果目标可以嘲讽，该打击则会造成武器伤害。,被嘲讽。
695,"等级 2",向目标射出一支暗影箭，对其造成$s1点暗影伤害。,
696,"等级 2",使施法者的护甲值提高$s1点，通过法术和效果恢复的生命值提高$s2%。术士在同一时间内只能激活一种护甲法术。持续$d。,护甲值提高$s1点，通过法术和效果恢复的生命值提高$s2%。
697,召唤,召唤一个虚空行者为术士作战。,
42433,,吐息法术效果。,
698,,开启一个仪式，制造出一道传送门。2名团队成员就可以使用这道传送门来召唤队友。仪式需要施法者和2名队友协力才能完成。所有参与召唤的队友都必须不在战斗状态中，使用右键点击传送门，并且在召唤完成之前不得移动。,
699,"等级 2",每$t1秒吸取目标的$s1点生命值，并将其转移给施法者，持续$d。,每$t1秒吸取$s1点生命值并将其转移给施法者。
700,"等级 1",使敌人进入睡眠状态，最多持续$d。任何对目标造成伤害的行为都会唤醒它。同一时间内只能有一个目标被催眠。30级以上的敌人抵抗该效果的几率提高。,沉睡。
701,,冲击目标，对其造成$s1点火焰伤害。,
702,"等级 1",目标的近战攻击强度降低$s1点，护甲值降低$s2%，持续$d。对于一个目标，每个术士只能施加一种诅咒。,近战攻击强度降低$s1点，护甲值降低$s2%。
703,"等级 1",猛勒敌人的脖子，在$d内对其造成总计${($m1+$AP*0.07)*6}点伤害，该伤害会受到攻击强度的加成影响。必须在潜行状态下从目标背后发动。奖励$s2个连击点数。,每$t1秒$s1点伤害。
705,"等级 3",向目标射出一支暗影箭，对其造成$s1点暗影伤害。,
707,"等级 2",灼烧敌人，对其造成$s2点火焰伤害，并在$d内造成额外的$o1点火焰伤害。,每$t1秒$s1点火焰伤害。
709,"等级 3",每$t1秒吸取目标的$s1点生命值，并将其转移给施法者，持续$d。,每$t1秒吸取$s1点生命值并将其转移给施法者。
710,"等级 1",放逐敌对目标，使其完全无法行动，但也不会受到任何伤害，最多持续$d。每个术士在同一时间内只能放逐一个目标，对被放逐中的目标再次施放放逐会取消放逐效果。只能对恶魔和元素生物使用。,不会受到任何伤害，但也无法做出任何动作。
712,召唤,在术士身边召唤出一个魅魔。,
713,召唤,在术士身边召唤出一个夜魔。,
720,,顽强的范克瑞斯的巢穴将目标拖至附近异种巢虫的路径中，并将其纠缠$d。,被纠缠。
724,"等级 1",制造一个光明之泉。友方玩家可以点击光明之泉，在$7001d内恢复${$7001m1*3*$<mult>}点生命值。如果你受到攻击并损失了相当于你自身生命值总量30%的生命值，该效果就会中断。光明之泉会在$d或者在被使用10次之后消失。,
740,"等级 1",每$t2秒为$48445a1码范围内生命值最低的$48447s3个小队或团队目标恢复$s1点生命值，持续$d。德鲁伊必须引导此法术。,每$t2秒为附近的小队或团队成员恢复$s1点生命值。
744,,每$t1秒对目标造成一次自然伤害，持续$d。,每$t1秒受到一次自然伤害。
745,,使目标无法移动，持续$d。,无法行动。
746,"等级 1",在$d内恢复$o1点生命值。,每$t1秒治疗$s1点伤害。
747,,召唤$s1个施法者的幻象。,
755,"等级 1",只要施法者保持着引导法术的状态，就会每秒钟将$s1点生命值转移给施法者的宠物，最多持续$d。,正在转移生命值。
759,"等级 1",制造一颗魔法玛瑙，使用后可以立刻恢复$5405s1点法力值。,
768,变形,"变成一头猎豹，近战攻击强度提高$3025s1点再加上敏捷数值，免疫变形魔法效果，并可使用多种猎豹形态下专有的技能。

变身可以解除施法者身上的所有变形和移动限制效果。",免疫变形效果。近战攻击强度提高$3025s1点加上敏捷数值。
769,"等级 3",横扫附近的敌人，造成$s1点伤害。伤害值受攻击强度加成影响。,
770,,使目标的护甲值降低$s1%，持续$d。在效果持续期间，目标无法潜行或隐形。,护甲值降低$s1%，无法潜行或隐形。
772,"等级 1",使目标的伤口不断流血，在$d内造成持续伤害，总值为$o1点再加上${0.2*5*(($MWB+$mwb)/2+$AP/14*$MWS)}点（取决于武器伤害值）。,每$t1秒因流血受到$s1点伤害，外加武器伤害的一部分。
774,"等级 1",为目标恢复${$m1*$<mult>}点生命值，并在$d内额外恢复${$m1*(5+$<bonusticks>)*$<mult>}点生命值。,每$t1秒治疗$s1点伤害。
779,"等级 1",横扫附近的敌人，造成$s1点伤害。伤害值受攻击强度加成影响。,
780,"等级 2",横扫附近的敌人，造成$s1点伤害。伤害值受攻击强度加成影响。,
781,,尝试脱离战斗，向后方跳跃。只能在战斗状态下使用。,尝试脱离战斗，向后方跳跃。
782,"等级 2",使友方目标身上环绕着荆棘，对任何使用近战手段击中被保护者的敌人造成$s1点自然伤害，持续$d。,对攻击者造成$s1点自然伤害。
783,变形,"德鲁伊进入旅行形态，移动速度提高$?a23218[${$5419s1+15}][$5419s1]%，并免疫变形效果。只能在户外使用。

变身可以使德鲁伊摆脱变形和移动限制效果。",免疫变形效果。移动速度提高$?a23218[${$5419s1+15}][$5419s1]%。
785,,被预言者斯克拉姆的力量所转化，神圣的力量充盈在目标的体内。受到转化时，目标的所有法术皆变为瞬发，造成的伤害提高$s2%，所有抗性提高$2313s2点，并且移动速度提高$2313s3%，持续$d。,"被魅惑。
伤害提高$s2%。
所有法术瞬发。
所有抗性提高$2313s2点。
移动速度提高$2313s3%。"
802,,使附近的圣甲虫的生命值和伤害提高。,"生命值提高$s1%。
攻击伤害提高$s3%。"
804,,将能量注入一只圣甲虫体内，使其在$t1秒后爆炸。,即将爆炸。
806,,使你的力量提高$s1点，但是每$m2秒对你造成$s2点伤害，持续$d。,力量提高，但是受到持续的伤害。
812,,周期性地施放法力燃烧。,周期性地施放法力燃烧。
818,,点起一堆营火，使附近的冒险者们的精神提高4点，并可以在营火旁烹饪。,
822,被动种族特长,使你被法术命中的几率降低$s1%。,
824,被动,,
827,,骑乘速度提高$s1点。,
833,,立刻恢复$s1点生命值，并在$d内恢复$o2点法力值。饮用时必须保持坐姿。,每秒回复$/5;s2点法力值。
835,,使目标昏迷$d。60级以上的目标对这个效果的抵抗几率更高。,昏迷。
837,"等级 3",向目标射出一支寒冰箭，对其造成${$m2*$<mult>}至${$M2*$<mult>}点冰霜伤害，并使其移动速度降低$s1%，持续$d。,移动速度降低$s1%。
845,"等级 1",横扫攻击，对目标和它身边$?s58366[两个最近的敌人][最近的一个敌人]造成武器伤害再加上$s1点伤害。,
851,"等级 3",将敌人变成一只不能施法、不能攻击的绵羊，移动速度降低$s2%，最多持续$d。,不能施法或攻击，移动速度降低$s2%。
857,"等级 2",用魔法打开宝箱等上锁的东西。,
865,"等级 2",冲击施法者附近的所有敌人，对它们造成${$m1*$<mult>}到${$M1*$<mult>}点冰霜伤害并将其冻结在原地，最多持续$d。对被冻结的目标造成伤害可能打断这个效果。,被冻结在原地。
871,,使你受到的所有伤害降低$s1%，持续$d。,受到的所有伤害降低$s1%。
879,"等级 1",对一个敌对目标造成${$m1+0.15*$SPH+0.15*$AP}到${$M1+0.15*$SPH+0.15*$AP}点神圣伤害。如果目标是亡灵或恶魔，则必定爆击。,
883,,召唤你的宠物。,
886,"等级 2",教你学会施放隐形术。,
898,,制造一瓶热情药水。,
905,"等级 3",施法者被$n个闪电球环绕。如果施法者受到了近战、远程或法术伤害，则攻击者会受到$26366s1点自然伤害，并会消耗掉一个闪电球。一个攻击者在短期内只会受到一次反噬伤害。持续$d。萨满祭司在同一时间内只能激活一种元素护盾。,在被击中后对攻击者造成$26366s1点自然伤害。可使用$n次。
913,"等级 4",治疗友方目标，恢复$s1点生命值。,
915,"等级 4",向目标射出闪电箭，对其造成$s1点自然伤害。,
921,,收集目标携带的物品。,
930,"等级 2",向敌人射出一支闪电箭，对其造成$s1点自然伤害，随后这支闪电箭会继续攻击它周围最近的敌人。闪电箭每跳跃一次，伤害就减少30%，最多可攻击$x1个目标。,
932,,恢复目标的法力值。,
939,"等级 5",治疗友方目标，恢复$s1点生命值。,
943,"等级 5",向目标射出闪电箭，对其造成$s1点自然伤害。,
945,"等级 4",施法者被$n个闪电球环绕。如果施法者受到了近战、远程或法术伤害，则攻击者会受到$26367s1点自然伤害，并会消耗掉一个闪电球。一个攻击者在短期内只会受到一次反噬伤害。持续$d。萨满祭司在同一时间内只能激活一种元素护盾。,在被击中后对攻击者造成$26367s1点自然伤害。可使用$n次。
959,"等级 6",治疗友方目标，恢复$s1点生命值。,
970,"等级 3",黑暗的咒语，在$d内造成总计$o1点暗影伤害。,每$t1秒$s1点暗影伤害。
974,"等级 1",一层大地之盾保护目标，使其因受到伤害而损失的施法或引导时间缩短$s2%，被大地之盾保护的目标在受到攻击时可以恢复$<heal>点生命值。该效果每数秒只能出现一次，共可生效$n次。大地之盾持续$d，同一时间内只能给一个目标施放大地之盾，且同一时间内只能有一种元素护盾在同一目标身上生效。,因受到伤害而损失的施法或引导时间缩短$s2%，在受到攻击时可以恢复$s1点生命值。
976,"等级 1",使目标对暗影法术的抗性提高$s1点，持续$d。,暗影抗性提高$s1点。
980,"等级 1",给目标施加痛苦的诅咒，使其在$d内受到$o1点暗影伤害。这种伤害在初期会缓慢生效，但是会在作用效果期间不断加速，直到结束。对于一个目标，每个术士只能施加一种诅咒。,在$d内受到总计$o1点暗影伤害。
982,,复活你的宠物，并为其恢复$s1%的基础生命值。,
984,"等级 4",对单体目标造成$s1点神圣伤害。,
988,"等级 2",驱散目标身上的魔法效果，从友方身上移除$s1个有害法术，或是从敌人身上移除$s1个有益法术。,
990,"等级 3","用魔法合成$s1块魔法黑面包以供法师和$g他:她;的盟友食用。

这些物品会在持有者登出游戏超过15分钟之后消失。",
992,"等级 4",黑暗的咒语，在$d内造成总计$o1点暗影伤害。,每$t1秒$s1点暗影伤害。
996,"等级 2",强大的祷言，可以为目标周围半径$a1码范围内的所有小队成员全部恢复$s1点生命值。,
1002,,直接控制你的宠物，并以它的视角行动，持续$d。,直接控制宠物。
1004,"等级 5",对单体目标造成$s1点神圣伤害。,
1006,"等级 4",圣洁的能量充满施法者的体内，使护甲值提高$s1点。牧师每受到一次近战或远程伤害，就消耗一层心灵之火效果。持续$d或者直到消耗了$n次效果。,护甲值提高$s1点。
1008,"等级 1",增强施放于目标小队成员身上的魔法效果，使其受到的法术伤害最多提高$s1点，治疗法术所恢复的生命值最多提高$s2点，持续$d。,被法术攻击时所承受的伤害最多提高$s1点，被法术治疗时所恢复的生命值最多提高$s2点。
1010,"等级 1",使目标受到痴呆的诅咒，每$t3秒降低$s1点智力和精神，直到这两种属性都被降低了$*15;s1点为止。每个术士只能对一个目标施加一种诅咒，且同类诅咒不能叠加。,智力和精神降低。
1014,"等级 2",给目标施加痛苦的诅咒，使其在$d内受到$o1点暗影伤害。这种伤害在初期会缓慢生效，但是会在作用效果期间不断加速，直到结束。对于一个目标，每个术士只能施加一种诅咒。,在$d内受到总计$o1点暗影伤害。
